name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
? caudacutus	|	567252	|		|		|	gbif:2491082	|	
? caudata	|	912446	|		|		|	gbif:7913235	|	
? caurensis	|	3598985	|		|		|	gbif:7341323	|	
? cayana	|	1012087	|		|		|	gbif:2486483	|	
? cebuensis	|	88706	|		|		|	gbif:2492679	|	
? cerulea	|	545135	|		|		|	gbif:6093350	|	
? cervicalis	|	461783	|		|		|	gbif:2481458	|	
? chalcopterus	|	165630	|		|		|	gbif:2479901	|	
? chalybeus	|	776924	|		|		|	gbif:7340753	|	
? chinensis	|	673521	|		|		|	gbif:2493448	|	
? chlorigula	|	683039	|		|		|	gbif:6100806	|	
? chlorophaea	|	3601282	|		|		|	gbif:5231928	|	
? chlorura	|	463020	|		|		|	gbif:2491276	|	
? chocolatinus	|	3598211	|		|		|	gbif:2492415	|	
? chrysogaster	|	384910	|		|		|	gbif:7341642	|	
? chrysomela	|	540007	|		|		|	gbif:7340272	|	
? chrysotis	|	1084794	|		|		|	gbif:7341955	|	
? cinerea	|	848606	|		|		|	gbif:2481935	|	
? cinerea	|	233446	|		|		|	gbif:6100881	|	
? cinereiceps	|	977746	|		|		|	gbif:7341914	|	
? cirrhatus	|	806931	|		|		|	gbif:5788501	|	
? citrina	|	1046626	|		|		|	gbif:6100882	|	
? coccinigastrus	|	3597621	|		|		|	gbif:6087760	|	
? collaris	|	675812	|		|		|	gbif:7340984	|	
? comatus	|	159830	|		|		|	gbif:2476030	|	
? concolor	|	3597451	|		|		|	gbif:7609892	|	
? concretus	|	1064257	|		|		|	gbif:2492424	|	
? conspicillata	|	1086213	|		|		|	gbif:6100924	|	
? conversii	|	996926	|		|		|	gbif:2476911	|	
? cooperi	|	236666	|		|		|	gbif:2481741	|	
? coronata	|	508025	|		|		|	gbif:7646544	|	
? corvina	|	3598577	|		|		|	gbif:2489021	|	
? coryphoeus	|	884746	|		|		|	gbif:6100854	|	
? crassirostris	|	501790	|		|		|	gbif:5788840	|	
? crassirostris	|	559268	|		|		|	gbif:7341760	|	
? craveri	|	454492	|		|		|	gbif:2481348	|	
? crinifrons	|	331489	|		|		|	gbif:2496793	|	
? criniger	|	177065	|		|		|	gbif:5230303	|	
? crissalis	|	651055	|		|		|	gbif:5229252	|	
? crissalis	|	463032	|		|		|	gbif:7341600	|	
? cristatus	|	3596261	|		|		|	gbif:5788498	|	
? cristatus	|	269011	|		|		|	gbif:7845064	|	
? cruentus	|	1035476	|		|		|	gbif:6100952	|	
? cucullata	|	890352	|		|		|	gbif:2493624	|	
? cupreocauda	|	981196	|		|		|	gbif:6100946	|	
