uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
3596802	|	464690	|	Leptoptilos crumenifer	|	species	|	gbif:9772663	|		|		|	
7659113	|	464690	|	Leptoptilos pliocenicus	|	no rank	|	gbif:9793394	|		|	extinct,incertae_sedis	|	
3596804	|	464690	|	Leptoptilos titan	|	species	|	gbif:4966504	|		|		|	
3596803	|	464690	|	Leptoptilos patagonicus	|	species	|	gbif:4966505	|		|		|	
597793	|	363013	|	Mycteria	|	genus	|	ncbi:33585,worms:159149,gbif:2481934,irmng:1341141	|		|		|	
464695	|	597793	|	Mycteria americana	|	species	|	ncbi:33587,worms:159150,gbif:2481937,irmng:10191123	|		|		|	
464693	|	597793	|	Mycteria ibis	|	species	|	ncbi:33586,worms:212705,gbif:2481936,irmng:10655491,irmng:11375187	|		|		|	
848605	|	597793	|	Mycteria leucocephala	|	species	|	ncbi:52781,gbif:2481938,irmng:11289707,irmng:11008981	|		|		|	
848606	|	597793	|	Mycteria cinerea	|	species	|	ncbi:52780,gbif:2481935,irmng:10592491,irmng:10765257	|		|		|	
6151145	|	597793	|	Mycteria milleri	|	species	|	gbif:8510455	|		|		|	
6151146	|	597793	|	Mycteria wetmorei	|	species	|	gbif:8559775	|		|		|	
7659114	|	597793	|	Tantalus breselensis	|	no rank	|	gbif:9690752	|		|	extinct,incertae_sedis	|	
848608	|	363013	|	Ephippiorhynchus	|	genus	|	ncbi:52782,gbif:2481903,irmng:1059716	|		|		|	
848594	|	848608	|	Ephippiorhynchus senegalensis	|	species	|	ncbi:52785,gbif:2481904,irmng:10422896	|		|		|	
848607	|	848608	|	Ephippiorhynchus asiaticus	|	species	|	ncbi:52783,gbif:2481905,irmng:10910977,irmng:10916082	|		|		|	
7659111	|	848608	|	Ephippiorhynchus tchoufour	|	no rank	|	gbif:9813991	|		|	extinct,incertae_sedis	|	
7659122	|	363013	|	Tantalus plumicollis	|	species	|	gbif:9219740	|		|	major_rank_conflict	|	
4947534	|	363013	|	Propelargus	|	no rank	|	gbif:9325892,irmng:1185953	|		|	extinct,incertae_sedis	|	
6151868	|	4947534	|	Propelargus olseni	|	no rank	|	gbif:8639229	|		|	extinct_inherited,incertae_sedis	|	
7659123	|	363013	|	Xenorhynchus	|	genus	|	gbif:9506747	|		|		|	
7659124	|	7659123	|	Xenorhynchus nanus	|	species	|	gbif:8483234	|		|		|	
7659120	|	363013	|	Pseudotantalus	|	no rank	|	gbif:9749365	|		|	extinct,incertae_sedis	|	
