Out-degree	Count
0	9516
1	2684
2	486
3	242
4	169
5	108
6	82
7	65
8	57
9	42
10	35
11	38
12	24
13	32
14	15
15	19
16	10
17	16
18	9
19	8
20	7
21	8
22	8
23	4
24	9
25	3
26	5
27	9
28	4
29	7
30	3
31	6
32	3
33	4
34	1
35	3
36	1
37	3
39	2
42	2
44	3
46	2
48	2
51	1
52	1
57	1
58	1
61	2
71	1
74	1
76	1
80	1
101	1
106	1
