,species,PRIMARY_COM_NAME,genus,family,addition.style,add.to,do.not.break,notes,actually.missing,actually.not.missing
1,Struthio_camelus,Common Ostrich,Struthio,Struthionidae (Ostriches),,,,,0,0
2,Struthio_molybdophanes,Somali Ostrich,Struthio,Struthionidae (Ostriches),genus-level,Struthio,,only one possible answer,0,0
3,Rhea_americana,Greater Rhea,Rhea,Rheidae (Rheas),,,,,0,0
4,Rhea_pennata,Lesser Rhea,Rhea,Rheidae (Rheas),,,,,0,0
5,Nothocercus_julius,Tawny-breasted Tinamou,Nothocercus,Tinamidae (Tinamous),genus-level,Nothocercus,"Nothocercus_nigrocapillus, Nothocercus_bonapartei","BOW: Nothocercus julius is sister to the other two species in the genus (Bertelli et al 2002, Bertelli and Porzecanski 2004).",0,0
6,Nothocercus_bonapartei,Highland Tinamou,Nothocercus,Tinamidae (Tinamous),genus-level,Nothocercus_nigrocapillus,,"BOW: Nothocercus julius is sister to the other two species in the genus (Bertelli et al 2002, Bertelli and Porzecanski 2004).",0,0
7,Nothocercus_nigrocapillus,Hooded Tinamou,Nothocercus,Tinamidae (Tinamous),,,,,0,0
8,Tinamus_tao,Gray Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
9,Tinamus_solitarius,Solitary Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
10,Tinamus_osgoodi,Black Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
11,Tinamus_major,Great Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
12,Tinamus_guttatus,White-throated Tinamou,Tinamus,Tinamidae (Tinamous),,,,,0,0
13,Crypturellus_cinereus,Cinereous Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
14,Crypturellus_berlepschi,Berlepsch's Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
15,Crypturellus_soui,Little Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
16,Crypturellus_ptaritepui,Tepui Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
17,Crypturellus_obsoletus,Brown Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
18,Crypturellus_undulatus,Undulated Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
19,Crypturellus_transfasciatus,Pale-browed Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
20,Crypturellus_strigulosus,Brazilian Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
21,Crypturellus_duidae,Gray-legged Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
22,Crypturellus_erythropus,Red-legged Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
23,Crypturellus_noctivagus,Yellow-legged Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
24,Crypturellus_atrocapillus,Black-capped Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
25,Crypturellus_boucardi,Slaty-breasted Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
26,Crypturellus_kerriae,Choco Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
27,Crypturellus_variegatus,Variegated Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
28,Crypturellus_cinnamomeus,Thicket Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
29,Crypturellus_brevirostris,Rusty Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
30,Crypturellus_bartletti,Bartlett's Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
31,Crypturellus_parvirostris,Small-billed Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
32,Crypturellus_casiquiare,Barred Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
33,Crypturellus_tataupa,Tataupa Tinamou,Crypturellus,Tinamidae (Tinamous),,,,,0,0
34,Rhynchotus_rufescens,Red-winged Tinamou,Rhynchotus,Tinamidae (Tinamous),,,,,0,0
35,Rhynchotus_maculicollis,Huayco Tinamou,Rhynchotus,Tinamidae (Tinamous),,,,,0,0
36,Nothoprocta_taczanowskii,Taczanowski's Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,,0,0
37,Nothoprocta_ornata,Ornate Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,,0,0
38,Nothoprocta_perdicaria,Chilean Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,,0,0
39,Nothoprocta_cinerascens,Brushland Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,,0,0
40,Nothoprocta_pentlandii,Andean Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,,0,0
41,Nothoprocta_curvirostris,Curve-billed Tinamou,Nothoprocta,Tinamidae (Tinamous),,,,,0,0
42,Nothura_boraquira,White-bellied Nothura,Nothura,Tinamidae (Tinamous),,,,,0,0
43,Nothura_minor,Lesser Nothura,Nothura,Tinamidae (Tinamous),,,,,0,0
44,Nothura_darwinii,Darwin's Nothura,Nothura,Tinamidae (Tinamous),,,,,0,0
45,Nothura_maculosa,Spotted Nothura,Nothura,Tinamidae (Tinamous),,,,,0,0
46,Taoniscus_nanus,Dwarf Tinamou,Taoniscus,Tinamidae (Tinamous),,,,,0,0
47,Eudromia_elegans,Elegant Crested-Tinamou,Eudromia,Tinamidae (Tinamous),,,,,0,0
48,Eudromia_formosa,Quebracho Crested-Tinamou,Eudromia,Tinamidae (Tinamous),,,,,0,0
49,Tinamotis_pentlandii,Puna Tinamou,Tinamotis,Tinamidae (Tinamous),,,,,0,0
50,Tinamotis_ingoufi,Patagonian Tinamou,Tinamotis,Tinamidae (Tinamous),,,,,0,0
51,Casuarius_casuarius,Southern Cassowary,Casuarius,Casuariidae (Cassowaries and Emu),,,,,0,0
52,Casuarius_bennetti,Dwarf Cassowary,Casuarius,Casuariidae (Cassowaries and Emu),,,,,0,0
53,Casuarius_unappendiculatus,Northern Cassowary,Casuarius,Casuariidae (Cassowaries and Emu),genus-level,Casuarius_bennetti,,"according to Naish, D., and R. Perron (2014). Structure and function of the Cassowary's casque and its implications for Cassowary History, Biology and evolution. Historical Biology 28(4):507–518 as cited in BOW, Southern is sister to Dwarf+Northern",0,0
54,Dromaius_novaehollandiae,Emu,Dromaius,Casuariidae (Cassowaries and Emu),,,,,0,0
55,Apteryx_australis,Southern Brown Kiwi,Apteryx,Apterygidae (Kiwis),,,,,0,0
56,Apteryx_rowi,Okarito Brown Kiwi,Apteryx,Apterygidae (Kiwis),,,,,0,0
57,Apteryx_mantelli,North Island Brown Kiwi,Apteryx,Apterygidae (Kiwis),,,,,0,0
58,Apteryx_owenii,Little Spotted Kiwi,Apteryx,Apterygidae (Kiwis),,,,,0,0
59,Apteryx_haastii,Great Spotted Kiwi,Apteryx,Apterygidae (Kiwis),,,,,0,0
60,Anhima_cornuta,Horned Screamer,Anhima,Anhimidae (Screamers),,,,,0,0
61,Chauna_torquata,Southern Screamer,Chauna,Anhimidae (Screamers),,,,,0,0
62,Chauna_chavaria,Northern Screamer,Chauna,Anhimidae (Screamers),Actually missing,Chauna,,,1,0
63,Anseranas_semipalmata,Magpie Goose,Anseranas,Anseranatidae (Magpie Goose),,,,,0,0
64,Dendrocygna_guttata,Spotted Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
65,Dendrocygna_eytoni,Plumed Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
66,Dendrocygna_viduata,White-faced Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
67,Dendrocygna_autumnalis,Black-bellied Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
68,Dendrocygna_arborea,West Indian Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
69,Dendrocygna_bicolor,Fulvous Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
70,Dendrocygna_arcuata,Wandering Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
71,Dendrocygna_javanica,Lesser Whistling-Duck,Dendrocygna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
72,Thalassornis_leuconotus,White-backed Duck,Thalassornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
73,Anser_indicus,Bar-headed Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
74,Anser_canagicus,Emperor Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
75,Anser_caerulescens,Snow Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
76,Anser_rossii,Ross's Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
77,Anser_anser,Graylag Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
78,Anser_cygnoides,Swan Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
79,Anser_albifrons,Greater White-fronted Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
80,Anser_erythropus,Lesser White-fronted Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
81,Anser_fabalis,Taiga Bean-Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
82,Anser_serrirostris,Tundra Bean-Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
83,Anser_brachyrhynchus,Pink-footed Goose,Anser,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
84,Branta_bernicla,Brant,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
85,Branta_leucopsis,Barnacle Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
86,Branta_hutchinsii,Cackling Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
87,Branta_canadensis,Canada Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
88,Branta_sandvicensis,Hawaiian Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
89,Branta_ruficollis,Red-breasted Goose,Branta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
90,Cereopsis_novaehollandiae,Cape Barren Goose,Cereopsis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
91,Stictonetta_naevosa,Freckled Duck,Stictonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
92,Cyanochen_cyanoptera,Blue-winged Goose,Cyanochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
93,Cygnus_olor,Mute Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
94,Cygnus_atratus,Black Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
95,Cygnus_melancoryphus,Black-necked Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
96,Cygnus_buccinator,Trumpeter Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
97,Cygnus_columbianus,Tundra Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
98,Cygnus_cygnus,Whooper Swan,Cygnus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
99,Coscoroba_coscoroba,Coscoroba Swan,Coscoroba,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
100,Sarkidiornis_melanotos,Knob-billed Duck,Sarkidiornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
101,Sarkidiornis_sylvicola,Comb Duck,Sarkidiornis,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Sarkidiornis,,,1,0
102,Pteronetta_hartlaubii,Hartlaub's Duck,Pteronetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
103,Oressochen_jubatus,Orinoco Goose,Oressochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
104,Oressochen_melanopterus,Andean Goose,Oressochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
105,Chloephaga_picta,Upland Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
106,Chloephaga_hybrida,Kelp Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Chloephaga,,,1,0
107,Chloephaga_poliocephala,Ashy-headed Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
108,Chloephaga_rubidiceps,Ruddy-headed Goose,Chloephaga,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Chloephaga,,,1,0
109,Radjah_radjah,Radjah Shelduck,Radjah,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
110,Alopochen_aegyptiaca,Egyptian Goose,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
111,Alopochen_mauritiana,Mauritius Shelduck,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Alopochen; Alopochen_mauritiana, Alopochen_kervazoi",,,1,0
112,Alopochen_kervazoi,Reunion Shelduck,Alopochen,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Alopochen; Alopochen_mauritiana, Alopochen_kervazoi",,,1,0
113,Tadorna_ferruginea,Ruddy Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
114,Tadorna_cana,South African Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
115,Tadorna_tadornoides,Australian Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
116,Tadorna_variegata,Paradise Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
117,Tadorna_tadorna,Common Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
118,Tadorna_cristata,Crested Shelduck,Tadorna,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Tadorna_tadornoides, Tadorna_variegata, Tadorna_cristata",,One phylogenetic analysis found present species to be sister to a clade comprising T. tadornoides and T. variegata,1,0
119,Plectropterus_gambensis,Spur-winged Goose,Plectropterus,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Radjah_radjah, Alopochen_aegyptiaca, Alopochen_mauritiana, Alopochen_kervazoi, Tadorna_ferruginea, Tadorna_cana, Tadorna_tadornoides, Tadorna_variegata, Tadorna_tadorna, Tadorna_cristata, Plectropterus_gambensis","Radjah_radjah, Alopochen_aegyptiaca, Alopochen_mauritiana, Alopochen_kervazoi, Tadorna_ferruginea, Tadorna_cana, Tadorna_tadornoides, Tadorna_variegata, Tadorna_tadorna, Tadorna_cristata","Some authors have proposed that present species be placed in a tribe (Plectropterini), or even in a subfamily (Plectropterinae), of its own. ETM: adding to taxa above it in linear sequence without breaking monophyly of any of those genera. MJI: add as sister to Tadorna + Allopochen",1,0
120,Tachyeres_patachonicus,Flying Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
121,Tachyeres_pteneres,Flightless Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
122,Tachyeres_brachypterus,Falkland Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
123,Tachyeres_leucocephalus,White-headed Steamer-Duck,Tachyeres,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
124,Lophonetta_specularioides,Crested Duck,Lophonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
125,Speculanas_specularis,Spectacled Duck,Speculanas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
126,Cairina_moschata,Muscovy Duck,Cairina,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
127,Nettapus_pulchellus,Green Pygmy-Goose,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
128,Nettapus_coromandelianus,Cotton Pygmy-Goose,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
129,Nettapus_auritus,African Pygmy-Goose,Nettapus,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Nettapus,,,1,0
130,Callonetta_leucophrys,Ringed Teal,Callonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
131,Aix_sponsa,Wood Duck,Aix,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
132,Aix_galericulata,Mandarin Duck,Aix,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
133,Chenonetta_jubata,Maned Duck,Chenonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
134,Chenonetta_finschi,Finsch's Duck,Chenonetta,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Chenonetta,,,1,0
135,Amazonetta_brasiliensis,Brazilian Teal,Amazonetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
136,Hymenolaimus_malacorhynchos,Blue Duck,Hymenolaimus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
137,Merganetta_armata,Torrent Duck,Merganetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
138,Salvadorina_waigiuensis,Salvadori's Teal,Salvadorina,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Hymenolaimus_malacorhynchos, Merganetta_armata, Salvadorina_waigiuensis, Sibirionetta_formosa, Spatula_querquedula, Spatula_hottentota, Spatula_versicolor, Spatula_puna, Spatula_discors, Spatula_cyanoptera, Spatula_platalea, Spatula_smithii, Spatula_rhynchotis, Spatula_clypeata, Mareca_strepera, Mareca_falcata, Mareca_penelope, Mareca_americana, Mareca_sibilatrix, Mareca_marecula, Anas_sparsa, Anas_undulata, Anas_melleri, Anas_superciliosa, Anas_laysanensis, Anas_wyvilliana, Anas_luzonica, Anas_poecilorhyncha, Anas_zonorhyncha, Anas_platyrhynchos, Anas_diazi, Anas_rubripes, Anas_fulvigula, Anas_capensis, Anas_bahamensis, Anas_erythrorhyncha, Anas_acuta, Anas_eatoni, Anas_georgica, Anas_crecca, Anas_andium, Anas_flavirostris, Anas_theodori, Anas_albogularis, Anas_gibberifrons, Anas_gracilis, Anas_castanea, Anas_bernieri, Anas_aucklandica, Anas_nesiotis, Anas_chlorotis",Aix; Alopochen; Amazonetta; Anas; Anser; Asarcornis; Aythya; Biziura; Branta; Bucephala; Cairina; Callonetta; Camptorhynchus; Cereopsis; Chenonetta; Chloephaga; Clangula; Coscoroba; Cyanochen; Cygnus; Dendrocygna; Heteronetta; Histrionicus; Hymenolaimus; Lophodytes; Lophonetta; Malacorhynchus; Mareca; Marmaronetta; Melanitta; Merganetta; Mergellus; Mergus; Netta; Nettapus; Nomonyx; Oressochen; Oxyura; Plectropterus; Polysticta; Pteronetta; Radjah; Rhodonessa; Salvadorina; Sarkidiornis; Sibirionetta; Somateria; Spatula; Speculanas; Stictonetta; Tachyeres; Tadorna; Thalassornis,"Often placed in genus Anas. Shares several characters with Hymenolaimus and Merganetta, but this possibly due to convergent evolution. ETM: add to Hymenolaiumus through Anas without rendering any genera paraphyletic",1,0
139,Sibirionetta_formosa,Baikal Teal,Sibirionetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
140,Spatula_querquedula,Garganey,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
141,Spatula_hottentota,Blue-billed Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
142,Spatula_versicolor,Silver Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
143,Spatula_puna,Puna Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
144,Spatula_discors,Blue-winged Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
145,Spatula_cyanoptera,Cinnamon Teal,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
146,Spatula_platalea,Red Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
147,Spatula_smithii,Cape Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
148,Spatula_rhynchotis,Australian Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
149,Spatula_clypeata,Northern Shoveler,Spatula,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
150,Mareca_strepera,Gadwall,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
151,Mareca_falcata,Falcated Duck,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
152,Mareca_penelope,Eurasian Wigeon,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
153,Mareca_americana,American Wigeon,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
154,Mareca_sibilatrix,Chiloe Wigeon,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
155,Mareca_marecula,Amsterdam Duck,Mareca,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Mareca,,,1,0
156,Anas_sparsa,African Black Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
157,Anas_undulata,Yellow-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
158,Anas_melleri,Meller's Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
159,Anas_superciliosa,Pacific Black Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
160,Anas_laysanensis,Laysan Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
161,Anas_wyvilliana,Hawaiian Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Anas_platyrhynchos, Anas_diazi, Anas_rubripes, Anas_fulvigula",,"Based on phylogenetic analysis of morphology (Livezey 1991) and genetics (mitochondrial DNA; Rhymer 2001), closely related to Mallard and close allies of sexually monochromatic species in North America, Mottled Duck (A. fulvigula), Mexican Duck (A. platyrhynchos diazi), and American Black Duck (A. rubripes). Laysan Duck more distantly related and represents separate invasion to Hawaiian Is. from Asian stock (Fleischer and McIntosh 2001, Rhymer 2001).",1,0
162,Anas_luzonica,Philippine Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
163,Anas_poecilorhyncha,Indian Spot-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
164,Anas_zonorhyncha,Eastern Spot-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
165,Anas_platyrhynchos,Mallard,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
166,Anas_diazi,Mexican Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
167,Anas_rubripes,American Black Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
168,Anas_fulvigula,Mottled Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
169,Anas_capensis,Cape Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
170,Anas_bahamensis,White-cheeked Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
171,Anas_erythrorhyncha,Red-billed Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
172,Anas_acuta,Northern Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
173,Anas_eatoni,Eaton's Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Anas_acuta, Anas_eatoni, Anas_georgica",,With A. acuta and A. georgica sometimes placed in genus Dafila.,1,0
174,Anas_georgica,Yellow-billed Pintail,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
175,Anas_crecca,Green-winged Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
176,Anas_andium,Andean Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
177,Anas_flavirostris,Yellow-billed Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
178,Anas_theodori,Mauritius Duck,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Anas_theodori, Anas_bernieri",,"Sometimes placed in subgenus Nettion within the A. gibberifrons species-group. Closest living relative formerly reckoned to be A. melleri, but now thought to be A. bernieri. ",1,0
179,Anas_albogularis,Andaman Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Anas_albogularis, Anas_gibberifrons, Anas_gracilis",,Sometimes placed in genus Nettion. Usually treated (along with A. gracilis) as conspecific with A. gibberifrons,1,0
180,Anas_gibberifrons,Sunda Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
181,Anas_gracilis,Gray Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
182,Anas_castanea,Chestnut Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
183,Anas_bernieri,Bernier's Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
184,Anas_aucklandica,Auckland Islands Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
185,Anas_nesiotis,Campbell Islands Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
186,Anas_chlorotis,Brown Teal,Anas,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
187,Malacorhynchus_membranaceus,Pink-eared Duck,Malacorhynchus,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
188,Marmaronetta_angustirostris,Marbled Teal,Marmaronetta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
189,Rhodonessa_caryophyllacea,Pink-headed Duck,Rhodonessa,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,"Asarcornis_scutulata, Netta_rufina, Netta_erythrophthalma, Netta_peposaca, Aythya_valisineria, Aythya_americana, Aythya_ferina, Aythya_collaris, Aythya_nyroca, Aythya_innotata, Aythya_baeri, Aythya_australis, Aythya_fuligula, Aythya_novaeseelandiae, Aythya_marila, Aythya_affinis",Asarcornis; Netta; Aythya,"More recently, DNA sequence data from a museum specimen enabled an assessment of its taxonomic relationships based on genetic data (15). This study found Pink-headed Duck was part of the Aythyini tribe, where it was apparently sister to both Netta and Aythya; it appears that White-winged Duck (Asarcornis scutulata) and Marbled Teal (Marmaronetta angustirostris) are sister to this large clade. Within the Aythini, Rhodonessa diverged from the pochards (Netta and Aythya) approximately 2.8 million years ago; this level of divergence supports retaining the genus Rhodonessa as monotypic (15).",1,0
190,Asarcornis_scutulata,White-winged Duck,Asarcornis,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
191,Netta_rufina,Red-crested Pochard,Netta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
192,Netta_erythrophthalma,Southern Pochard,Netta,"Anatidae (Ducks, Geese, and Waterfowl)",Actually missing,Netta,Netta,Sometimes placed in genus Metopiana or in monospecific Phaeoaythia; apparently not closely linked to other members of Netta.,1,0
193,Netta_peposaca,Rosy-billed Pochard,Netta,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
194,Aythya_valisineria,Canvasback,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
195,Aythya_americana,Redhead,Aythya,"Anatidae (Ducks, Geese, and Waterfowl)",,,,,0,0
