Out-degree	Count
0	21625
1	2038
2	1103
3	486
4	322
5	232
6	137
7	99
8	84
9	70
10	67
11	59
12	35
13	38
14	32
15	27
16	21
17	21
18	24
19	25
20	19
21	13
22	11
23	13
24	8
25	14
26	9
27	11
28	14
29	8
30	8
31	8
32	8
33	5
34	10
35	2
36	5
37	2
38	3
39	4
40	3
41	4
42	6
43	5
44	2
45	9
46	2
47	3
48	3
49	2
50	1
51	1
53	1
54	1
56	3
57	2
58	1
59	4
60	2
61	1
62	3
65	1
68	1
69	1
70	2
71	1
72	1
74	2
75	3
76	1
77	5
79	2
82	1
85	1
88	1
109	1
111	1
114	1
142	1
145	1
150	1
154	1
249	1
647	1
